PUMA2020,elasticity,delta_bar,A_g,α_g,delta_g,HDD_g,CDD_g
400602,0.8267017452188907,0.40569306005258965,-0.010796991691408103,-0.011360803592593945,0.054064609957646434,-211.90340698396534,274.4168703503996
400701,1.0310874,0.38469383997024625,-0.013972984356113627,-0.017903931000515044,-0.029084405484652253,-127.45436579508306,329.0650157687237
400803,0.54762644,0.14594125708369088,-0.012044661730846461,-0.013710386506722204,-0.11489322162968385,-188.85407390989073,297.68376599817054
400805,0.71832252,1.16081001046439,-0.012164648304142043,-0.01402555153912687,-0.11489343946318427,-182.5471432188096,299.1947404432983
400807,0.7080425,0.3886239563791491,-0.01427811132904169,-0.018203925859868766,-0.11489359422999787,-134.4087111502905,336.991708099979
400900,0.99837887,1.7464424427779268,-0.00877527333630191,-0.007368924851608468,-0.014263826874365046,-257.7176927463552,238.21900542867076
401000,0.8692972316331233,0.5178600019577668,-0.004614443475126358,0.001030029053232016,0.04322872786683375,-360.41573346043765,165.2151516700856
401101,0.50602299,0.0808224864319241,-0.015341325269120338,-0.020782846544384195,0.12252586340301932,-88.32478984214015,352.12184357108936
401901,0.76811647,0.2671142665295525,-0.012909555700805393,-0.015682839741533672,-0.010676541600553185,-157.11694729211646,311.01322311121794
401902,0.58349609,0.010853883716813915,-0.013376428054312424,-0.016340008224626806,-0.010676609415498297,-158.67245696269222,321.52795955504894
401903,0.56137168,0.01782441124051554,-0.009856510198089287,-0.009557911590245698,-0.07703083264671634,-230.73579465257248,257.1375029555948
401904,0.54358244,0.010737515724057766,-0.011766846975519192,-0.013273702236768305,-0.010677011624597827,-190.02076242135567,291.7985778757056
401905,0.650415,0.037682389083084994,-0.009485426308266987,-0.00883643642557186,-0.010676627681189479,-238.6300813469126,250.40197296440746
401906,0.25503233,0.0009863069088002646,-0.012230496256614364,-0.0141627548520912,-0.0106737225656171,-180.72544424613722,300.3151832238613
401907,0.29415911,0.00088125617532247,-0.011205632570264914,-0.012156130334033847,-0.01067075425240478,-203.17200613449384,281.8273206130332
401908,0.42748123,0.0025193076780196735,-0.012726254675157428,-0.015126795117021455,-0.010676360794445663,-170.17116953430073,309.31230588564176
401909,0.3652927,0.0025854129390301835,-0.012597119795511123,-0.014877565186804567,-0.010675010603070889,-172.8340157448368,306.95340620711187
402502,0.7408458519449479,0.36553598615975025,-0.008201251629272271,-0.006101008241376188,0.08006452625630438,-276.8931145054691,229.03697054312659
402503,0.7408412786385679,0.36552939574036153,-0.008920695251944201,-0.0075483467261420415,0.08006459895628955,-259.36102359321137,241.69998997914945
500101,0.66017795,0.21838191864006046,-0.009660585788162472,-0.008735157611234941,0.06294310227629112,-255.16209026238883,257.17979647561015
500102,0.39403185,0.21826881767726766,-0.009586961434183621,-0.00860939207647323,0.0629428161274289,-255.93156377405916,255.7019101042434
500201,0.61966485,0.07254835311422447,-0.009542589063100817,-0.008489455973332534,0.41586040831152976,-258.41912197253134,255.17070068154214
500202,0.58687758,0.07254482147134586,-0.0096650506386337,-0.008742399625282596,0.41586077892214474,-255.13307310477148,257.2725554996129
500300,0.95545226,0.6774529517829417,-0.00970547941358942,-0.008958186662967771,0.03658966145802898,-247.98301568173457,256.8890754520059
500400,0.79671484,0.41045909744532183,-0.010136391606769872,-0.009960897859951853,0.0217874450437167,-231.25445290052775,263.3673832294769
500500,0.6735893062686874,0.28682608379843294,-0.010174708467790857,-0.009931582150702757,0.06552355625794704,-235.19921521104158,264.90837962719945
500600,0.54049462,0.1545853305276142,-0.010513874363199241,-0.010894291277577475,0.16805274428906788,-214.07784305995384,268.5944055259839
500700,0.6995771811726412,0.17128538178150107,-0.010294046613284086,-0.010293476486442158,0.17548590754663698,-226.70569878727986,266.016727488181
500800,0.65594923,0.13816648811844784,-0.010420307327305398,-0.01067286804819753,0.12398533034837528,-217.87976390386126,267.2178380466376
500900,0.69284147,0.09568241454913534,-0.010618522744829778,-0.01103960941834652,0.06173485751534399,-214.51750656029364,270.9674242975473
501000,0.7114807779222578,0.27921734168687135,-0.010832202489308345,-0.011307221389918548,0.05000998579709105,-216.74999512134136,276.0499440743687
501100,0.59257901,0.14361319474328868,-0.0105089123104786,-0.010461897934410515,0.041172121868000906,-233.56664469466594,271.9474151865218
501200,0.50786686,0.24317455470573013,-0.010972113489320479,-0.011463119646556188,0.03084293962050395,-219.097869995043,279.53522447983175
501300,0.84199202,1.859474470915117,-0.01113022009463577,-0.011914508741581502,0.0004953879989193328,-209.13221096578073,281.23225884777617
501400,0.71674168,0.08482449561340022,-0.011091736079101851,-0.011907485010680511,0.05431590110392429,-206.84229621262665,279.9815499654414
501501,0.55123365,0.8899411039208223,-0.011017545607797522,-0.011791551815516707,0.05875367574060849,-207.122525955749,278.4043435973485
501502,0.34213233,0.18604866459209912,-0.010914963515842967,-0.011591878516497834,0.05875346837047157,-209.3153318322213,276.54424788780614
501600,0.55314749,0.36772067109288575,-0.011253691128993703,-0.01233639828777113,0.047699130864164996,-198.16837027008881,281.9924326355575
501700,0.938209,0.1283202635481747,-0.011694956281126313,-0.013072680355162722,-0.052388843007926844,-194.35846558736904,290.9925406224562
600101,0.11213477,0.09702640953108978,-0.004206475300326841,-0.0004851548367270364,0.24946009657504042,-263.25402171609596,139.0094928997197
600111,0.16842493,0.10993360552075913,-0.004205883461622786,-0.0005005036026029617,0.24945926949148323,-262.51009962579616,138.86436992525736
600112,0.19408181,0.24546901504954766,-0.004215997824425107,-0.00023819736008668692,0.24945985507606985,-275.2235262171496,141.3444821663162
600113,0.12439333,0.1601697336623627,-0.004971656348271072,-0.0018743936518094296,0.24945968450833247,-251.490103853868,153.70013573437288
600114,0.18557018,0.25377592395104936,-0.004639357225913124,-0.001239482224354261,0.24945969099237655,-258.0477444808921,147.57771833790244
600115,0.12630156,0.6373358389350464,-0.004622364214133238,-0.001101771287591067,0.2494591061297291,-263.208564588138,148.12178919511308
600116,0.17480622,0.6058234819550423,-0.004877971928271959,-0.0015933516938810236,0.24945971765536812,-258.01762432242634,152.8051466070968
600117,0.11405839,0.678161481355109,-0.004871502756288316,-0.00164075663813683,0.24945931282335648,-255.40499869327408,152.19919398473326
600118,0.12970084,0.4208868381648962,-0.004811009443536912,-0.0013924723180161053,0.24945989533015708,-262.6832772638404,152.16543836346534
600119,0.16549593,2.2912968916356853,-0.0043733321881966125,-0.00040512468523687915,0.2494596296972223,-278.248255011382,145.33208451291245
600120,0.12538777,2.3079374015319023,-0.006072872139222373,-0.00353168946442454,0.2494595212316487,-250.2426571543858,177.62801890730043
600121,0.08998426,0.3285135362512709,-0.004691136861778345,-0.001032869034143723,0.24945978527364873,-271.03547425727186,151.02026761540017
600122,0.13927074,0.6054199096259579,-0.004971656348271072,-0.0018743936518094296,0.24945991212612956,-251.490103853868,153.70013573437288
600123,0.094269395,0.10909089892441198,-0.004215500681078009,-0.00025109029322717587,0.24945918639148248,-274.59863312479905,141.22257915326495
600300,0.76174051,0.510227087740031,-0.004775083997288617,0.0006509772024188218,0.07170659283136768,-353.93877534843597,167.5874578423454
600700,0.55253053,2.4848700831727655,-0.00864417370615422,-0.007899951049299535,0.12410993108273649,-224.47181816270106,229.43849634368638
601100,0.93064946,3.3049164889156053,-0.006505921057056489,-0.003841613760169659,0.08619873344920348,-265.4239529099942,189.8213832374439
601301,0.12906207,0.1515376137211048,-0.004205728323843503,-0.0005045269512558483,0.11710154548384814,-262.31509645980486,138.82632906070006
601305,0.31939077,0.7514038858956829,-0.005279510655193621,-0.0020795419633319774,0.11710235535403961,-262.9783472571277,162.49200149070955
601308,0.063846357,0.6509546600819467,-0.007012547883062636,-0.00542493593252669,0.11710214778703025,-227.21275736630463,194.1441056519672
601309,0.42505589,1.1566984953399375,-0.005093902793892394,-0.0016974154098261893,0.11710208901823534,-267.9017182987566,159.29619982702462
601310,0.19348602,0.21045600268855882,-0.004863826126174862,-0.0016683854035717764,0.11710207225231802,-253.61717506151675,151.71327289853397
601311,0.1566004,0.5368368142179549,-0.0046492967090926525,-0.0010640677235133865,0.11710193649550692,-266.76524556478296,149.34419294226743
601312,0.43699324,0.5041518651458134,-0.004216667172823768,-0.00022083845505047224,0.11710215591361112,-276.06487548420137,141.50861105802193
601313,0.17781617,0.39159389145453116,-0.004928850041929815,-0.0013777621850563151,0.11710226903050713,-271.35573807898663,156.29016492038613
601314,0.13578571,0.48475246104733116,-0.0061861280368308395,-0.0038881119660725254,0.11710220856115351,-241.58721892067067,178.57422171246213
601500,0.82462019,1.0498123067848397,-0.002126607604988937,0.0055319652594252155,0.08857650348431532,-397.9805829553086,117.3300510290995
601700,0.5991832,0.38436996707263055,-0.0022675174405808927,0.00530749913149115,0.07377108330700258,-397.25235803365075,120.29082325994439
601901,0.7952708,2.688396899013226,-0.007357806203812521,-0.005886061915471785,0.21084428218132406,-229.5028761443414,202.12235746889667
601902,0.29810435,0.0339622952460061,-0.010085307296622964,-0.01069348837299223,0.2108442737960668,-194.197432670311,255.6646162555369
601903,0.26249427,0.027119611514099733,-0.01036006509205328,-0.0111665110964561,0.2108443530218913,-191.1571171459868,261.14995045911786
601904,0.32870886,0.054322779533407306,-0.009757620217918922,-0.010157266844737722,0.21084475007347062,-196.54308727689175,248.89515843995056
601905,0.35420281,0.05450625196882338,-0.010088667225934465,-0.010745833929368787,0.2108441766119551,-192.02538945166037,255.352475449406
601906,0.31035313,0.04521840492441109,-0.010463558041572956,-0.011355409026210996,0.21084419414013364,-189.52019165932984,263.1287630266125
601907,0.7154935,2.5313657120448867,-0.003786516068715283,0.0021168650179442076,0.21084410763611228,-354.0555633882714,145.92908184562023
602300,0.7171204781494851,0.6609877304640359,0.00012439129084248742,0.008460565013761474,0.37195273160397063,-379.4811141902761,64.6799503091831
602500,0.20667574,0.08031408945938372,-0.01357787214436776,-0.017337856676601295,0.07575615101116817,-126.59256663127782,320.24719153686647
602903,0.23174398,0.00903508990838534,-0.011307824217554881,-0.013148709487021308,0.0927610583792821,-164.5973294689782,277.21628478626326
602904,0.4352701,0.01336953946681613,-0.011328697493307319,-0.013249396246265109,0.09276049812247977,-161.3974560531659,277.1056334942536
602905,0.48652485,0.2985819622406033,-0.007903945702069618,-0.006169300633730496,0.09276057305279849,-253.58332678912527,218.3765493215249
602906,0.47122684,0.16779513934064658,-0.007775114988521061,-0.00663590129870917,0.09276049923323196,-223.44540889066545,210.197868432795
602907,0.48619109,0.011583668043335783,-0.011003906018250638,-0.01272885985976847,0.09276039621821151,-163.22046255666078,270.3068369508682
602908,0.30874312,0.006759759577998513,-0.011013464337191262,-0.012745552189018596,0.0927602547536101,-163.10384095116507,270.49573352841446
603100,0.97041756,0.1225525999537703,-0.008030814357587845,-0.007160230363051244,0.2774880147799825,-216.75913706177064,214.61761771465322
603300,0.7350217160780692,0.7080822275453107,-0.003970606765236074,0.00041799053160019965,0.08510236182425591,-288.65526921702116,138.34900100644617
603703,0.27603221,0.2691553147224133,-0.005901471643511941,-0.0025307606990977415,0.12462495882218047,-284.5028788052639,179.95493337356535
603704,0.27595758,0.32206064423652003,-0.005896591916561344,-0.002462729036267649,0.124624754130096,-287.29099204054774,180.3431787738987
603705,0.15932584,0.06032687029359211,-0.005674300920758634,-0.0029851497587064166,0.12462548039370251,-248.25041291282838,168.53353652088913
603706,0.14256246,0.06302706381711795,-0.004884159967510411,-0.001083892892921266,0.12462394923095584,-281.796709892857,157.1647657377753
603707,0.12135942,0.04914867613816919,-0.004769387691960279,-0.0008260210765640361,0.12462481512090907,-285.8306015062379,155.36437640703522
603708,0.19480911,0.08887653524991876,-0.006001019645561264,-0.0034458624492281,0.12462458064388597,-249.3011758223321,175.88506951145075
603709,0.26032877,1.1725985597439461,-0.0013318074033018949,0.006074370676030975,0.1246252334375019,-368.90621957094345,94.7356969698802
603710,0.13214235,0.068567653658484,-0.0068213284641269,-0.004766884744523851,0.12462456146824917,-244.40663125122234,193.00487230837285
603711,0.17289607,0.10578574263424684,-0.006475689444495537,-0.004019214154174219,0.12462467245968402,-255.22897456396936,187.34745917683532
603712,0.14780562,0.06174916129547606,-0.006332964764503006,-0.003715876645818546,0.124624780906776,-259.4503399139566,184.96737977644858
603713,0.13938141,0.06991366443544553,-0.006832641357523364,-0.0047778559245135604,0.12462494654975363,-244.67141411019148,193.29999587315604
603714,0.22262537,0.12917797692138466,-0.007957829023809322,-0.007294706619904262,0.12462516884598873,-205.63968632368557,211.04189655770125
603715,0.13673873,0.038165144495685935,-0.006832641357523364,-0.0047778559245135604,0.12462481185223895,-244.67141411019148,193.29999587315604
603716,0.13590406,0.06357024365136944,-0.006799468431066033,-0.004745685008179923,0.1246248811200448,-243.8949883100085,192.43460167493646
603717,0.11745753,0.04207149151721789,-0.006604355041231768,-0.004556465146977615,0.12462435437943879,-239.32828027406427,187.3446077072739
603718,0.13360535,0.03827472291452064,-0.006602431846022936,-0.004554600043148557,0.1246246804384948,-239.28326711006608,187.29443661435246
603719,0.15825357,0.04845579387467268,-0.006710550509750924,-0.004879836543706049,0.12462456519289711,-231.7090615820453,188.32004185450637
603720,0.14820659,0.08085331601436427,-0.007210796805549875,-0.005997847511305011,0.12462426654282013,-214.39970424130806,196.21566688386997
603721,0.16513817,0.0224127904782494,-0.007210796805549875,-0.005997847511305011,0.12462479453192693,-214.39970424130806,196.21566688386997
603722,0.15796988,0.023860956249265316,-0.007210796805549875,-0.005997847511305011,0.1246248040457348,-214.39970424130806,196.21566688386997
603723,0.15159635,0.022442721596496257,-0.006616288033433697,-0.004738453431795277,0.12462470482241668,-231.79387828110765,186.2679484103217
603724,0.17761007,0.05403223440098184,-0.005940218850443074,-0.0036302802797566983,0.12462389891786607,-236.7188437231678,172.31669922370028
603725,0.15690483,0.044310824874932875,-0.005575777469316072,-0.002951188163992759,0.12462471244464841,-243.12066895997617,165.46172999762894
603728,0.12359057,0.025709799909781055,-0.006998233499435588,-0.005601761685824547,0.12462489780097016,-218.13361923552128,192.21745208866912
