PUMA2020,q,population,H_S,homeownership_rate,total_owner_occupied_home_value,mean_rent,mean_labour_earnings,mean_labour_earnings_workingage,mean_income,mean_income_workingage,delta
3601600,132445.5509886138,102856,209803.6091170273,0.5298369890903166,5.70347331285549e9,685.4828354526944,47265.37092319338,64604.45075842399,67023.23951,76644.92034206832,1.7471233567884772
3601700,193306.2506629303,158061,267793.8667425735,0.5327623331902122,9.211591827254301e9,960.8148256750814,58212.23496916363,78095.78777438706,78277.28766298744,87251.28116674209,0.8702551580831959
3601801,290739.7502,115247,210065.67610479283,0.5950683496229731,1.0444813214048561e10,1272.989616142692,78389.57686480146,105545.4631564733,102361.1246,122141.5798598577,0.23055125064011525
3601802,290739.7502428591,120262,222114.51213020267,0.6807421107419704,1.1668772945664145e10,911.8273846852937,83684.21285100584,115806.9797,110295.1642478252,128745.6796816022,0.9080887199304868
3601900,205131.7191061057,161130,286251.77602086385,0.5158952920849718,1.0308856560256718e10,1015.351038619459,58731.55760191666,78745.36665622203,81466.11435752941,92489.60866100837,1.0965795088953525
3602001,240746.9378,107800,191483.07427958332,0.2550599312955902,4.115486977525664e9,1052.617479544566,41787.15405134189,64995.86156098552,54814.32825315325,72815.56022513872,0.1714878206228858
3602002,240746.9378068558,207048,349972.6682081629,0.5608732016381697,1.734969156041339e10,1085.026095955267,65338.74004907053,90099.59372033166,94592.24995951843,107958.7119957306,1.6202654708575124
3602100,237637.9846031623,109501,245846.84725239623,0.4694492497560921,9.882545914183487e9,923.2634262124056,56160.07568936856,82899.71028121952,84420.83527,102882.4646212632,1.1907019767548344
3602201,116797.8594995199,129527,221556.64991797283,0.3762312527687754,4.1902492920622153e9,785.0225842297077,34043.67263793945,49691.47001075745,53187.72490310669,62213.86388587952,0.33513789405085914
3602204,129887.7559998592,160684,350382.6691911802,0.5504915864969915,8.359048123595926e9,712.1660014709755,42337.33038321957,59527.21438,66329.0291,72719.9531,3.6801423830999576
3602300,228698.1252,105740,171992.307649789,0.4254954417051067,6.4371388284448e9,1205.642608142063,49920.49024,79491.52631818023,71719.33890511768,89026.93323553604,1.4334861834518642
3602403,121163.0020795021,129289,238311.11417651945,0.6294670543486518,7.968717341832946e9,854.3955169,53899.70553363487,75664.13984497637,78097.26955691725,91930.61205603182,1.1691314202639458
3602404,125896.1788586921,114796,223290.4371085771,0.6458524559690506,5.7565839551391325e9,676.0766216581603,44054.37477250876,64364.28693535468,69993.06143479273,80219.68853014252,1.6480590930965058
3602500,92721.64073415878,123498,255227.85854504173,0.4965358110627756,4.637889140300006e9,582.5442328856324,36465.19431406577,53977.84824743657,57126.69374564022,69797.82165670532,2.6926100139292437
3602600,106027.5938364886,127657,247449.89669012759,0.4877047739508766,5.059736094078861e9,736.8736594,36068.77209258741,50010.96919,54967.99778,63228.47909695772,0.8745840914212516
3602701,199495.6876536745,112760,286251.5205670418,0.424838786,8.822207910363462e9,949.1626371569128,55832.46166,79152.79672430904,80429.32407537226,96767.90077,1.2495838704955786
3602702,245285.6722527841,147715,234657.93430559436,0.4884195227677726,1.0270811137971252e10,1001.551183562574,53944.86556483091,84383.71734826389,81281.2201,108007.9540278513,0.46163399994058485
3602803,302107.0002796482,114933,188059.58648281798,0.6085510977627323,1.1127597760590061e10,1130.642104752045,64233.97491622799,99463.58699647812,97978.09088640097,127759.3242017372,1.0303423262233513
3602804,302107.0008687581,143259,214453.73306944504,0.531470066,1.1843236959666916e10,1184.591563855345,62857.83656120341,95106.46968658431,86215.85249203621,108314.1886847338,0.2645090445503823
3602805,343086.7427261624,135387,200475.4258624111,0.6605525831608742,1.4804325451143038e10,1298.742044053273,71563.81086829191,97306.96700340792,105249.5815794653,120105.3762612963,0.4597745453856617
3602901,280949.5941494746,124926,177702.399907381,0.5711875737506905,9.12497456007112e9,1239.618993980311,68486.48226233845,92468.24971058345,88731.24379388404,105682.3709578739,0.2468196741181279
3602902,280949.5941,129612,203403.4602955851,0.6023909198878323,9.726714304914139e9,1504.139794470617,68055.3889350491,99033.00301508438,88290.18898741399,110912.1217243803,0.4261424410842735
3602903,280949.5942697239,146772,218763.6858315321,0.5679032305956027,1.2253822413514292e10,1543.134983594729,75655.20997240466,97083.95473,101734.9269,115227.2200535991,0.35215284473387654
3603001,472160.0629746391,106384,156674.89727152075,0.7335573942604324,1.3105663421447283e10,1742.164829683915,104326.4181785727,129478.1119702968,131308.6223830991,144065.7796,0.13225107266046449
3603002,472160.0635818411,109337,170944.23270545577,0.6339625612123735,1.6844452311544483e10,1696.983957332792,97215.69751495234,144001.7504061962,138431.4718,174420.0921766642,0.08735848528627621
