PUMA2020,α_bar,A_bar,ρ,q,Π,H_S
1704304,0.6085722,1.4632969,613.21704,669.3331,0.04995094,0.14400572
1704305,0.7271542,1.2184302,449.64346,518.5206,0.05985466,0.16209713
1704306,0.63764966,1.3426944,495.81122,553.6406,0.07248732,0.15771498
1704307,0.65966946,1.3350803,479.24854,535.9557,0.06758384,0.20437767
1704900,1.1150851,0.80290717,221.92303,292.64798,0.0040866667,0.23854841
1707300,1.0966195,0.81904095,215.38673,283.64154,0.008782302,0.2698711
1708901,0.6662272,1.3384353,474.96173,529.0109,0.009377016,0.18345334
1708902,0.95171374,0.9684416,370.4607,464.53693,0.09263115,0.17930117
1708903,0.6862559,1.2683463,458.19208,521.00604,0.057266217,0.15809928
1708904,1.0142585,0.8839438,345.04718,446.46362,0.10161989,0.16835836
1709100,0.9535876,0.94247144,297.80807,373.15143,0.017422015,0.25048912
1709300,0.8521413,1.1020011,410.8197,490.69092,0.018606663,0.16995172
1709500,1.0269552,0.83574367,217.8937,284.67877,0.0022834248,0.29454258
1709701,0.8470793,1.0781485,363.24725,437.5516,0.058241714,0.2264731
1709702,1.1060219,0.73886794,263.74777,359.36142,0.12395846,0.24015397
1709703,0.6832899,1.4048299,565.06134,626.5976,0.06542812,0.1929938
1709704,0.6002994,1.4821436,605.0252,657.67035,0.026390871,0.14776847
1709705,0.5339873,1.661221,733.73285,774.32715,0.041942824,0.16407444
1709900,1.0514871,0.7770551,221.03185,294.53662,0.011572787,0.29422823
1711101,0.843805,1.0655838,355.0129,428.9919,0.023541434,0.19850245
1711102,0.7756219,1.1638769,372.76035,436.21838,0.06622489,0.25693956
1711300,1.0017812,0.9389294,264.04773,331.76157,0.027403515,0.29844615
1711500,1.0259445,0.8391439,209.7453,271.71237,0.024463082,0.28323358
1711700,0.9680915,0.8737242,201.44246,254.81854,0.011277062,0.28568107
1711901,1.1156429,0.77215105,209.00351,278.0874,0.042526882,0.27803546
1711902,0.93995327,1.0153016,303.84814,366.7931,0.011391802,0.20217316
1712100,1.0772525,0.86754215,227.89484,290.97812,0.004041598,0.3223625
1713500,1.0772892,0.83483094,229.97656,300.38007,0.00094138837,0.25586805
1714300,1.0899203,0.82701504,214.85861,282.06384,0.055501275,0.37181368
1716100,1.0944768,0.83709204,228.43822,298.00665,0.04547077,0.27962822
1716301,1.0335466,0.85935706,218.38478,278.82895,0.05128868,0.32357812
1716302,1.0169889,0.86076325,226.64726,289.5662,0.004424637,0.23706089
1716500,1.1808734,0.67800266,165.02765,225.12334,0.006104846,0.32349488
1716700,1.0447367,0.8862861,219.7507,279.6254,0.032263227,0.39087224
1717900,0.9585871,0.9328332,246.08621,309.25446,0.011217061,0.24421202
1719500,1.0514399,0.82582706,215.82513,282.9262,0.0027316117,0.35748947
1719701,0.7566919,1.3379759,568.78577,640.5962,0.05495983,0.20483434
1719702,0.88354766,1.006241,351.21915,433.51184,0.04069461,0.1963539
1719703,1.0944306,0.79472876,303.467,406.1108,0.09928856,0.19753826
1719704,0.7175061,1.262792,481.42288,549.27313,0.021518903,0.16373326
1719705,0.7503414,1.100516,341.74225,405.183,0.010189416,0.17654446
1719900,1.1472989,0.8013015,203.46298,266.35992,0.011243209,0.3590019
1720101,1.095032,0.7932542,226.38492,300.6283,0.063136324,0.387546
1800101,1.0824574,0.62720937,224.90027,315.90622,0.07557949,0.22297308
1800102,1.231117,0.48531747,203.34683,294.2419,0.049966767,0.29815635
1800103,0.7773284,1.011782,288.4481,352.47208,0.025508916,0.204583
1800104,0.8105493,1.1017901,356.00333,423.51544,0.011301761,0.22044688
1800200,0.847212,1.0191821,292.266,356.23334,0.018679893,0.28957248
1800300,0.90146047,0.84811157,238.42061,309.89874,0.023930522,0.2099998
1800401,1.0825431,0.7382787,242.04205,330.07104,0.08624289,0.21377917
1800402,0.853837,1.0214914,292.78,355.2137,0.017459856,0.25897586
1800501,0.99080956,0.81462884,251.41963,331.62714,0.009695897,0.18688448
1800502,0.9891418,0.80837864,250.51329,331.28024,0.0035271167,0.17473032
1800600,0.999639,0.8224931,216.95053,284.62344,0.0022963367,0.33140382
1800700,0.986692,0.74117714,213.94255,288.68604,0.004205792,0.21338297
1800800,0.9388485,0.80054826,204.18022,268.43335,0.0053474256,0.27006114
1800900,0.9870898,0.8192235,224.97733,295.4194,0.0015249947,0.25878987
1801001,1.0161765,0.7821085,216.6584,288.88693,0.030937294,0.26745814
1801002,1.0211173,0.82963455,253.89684,333.69186,0.013337864,0.21597412
1801003,0.8531513,1.0089495,295.00946,358.7446,0.0014807875,0.20327017
1801100,0.9215786,0.86828566,226.80968,289.16577,0.0053515243,0.24188802
1801200,1.0833799,0.8735794,274.31458,353.96326,0.028627137,0.30080602
1801300,0.97596794,0.792733,203.73026,267.372,0.014757882,0.28935823
1801400,1.1345481,0.70317125,218.47583,300.94138,0.008430668,0.2660847
1801500,1.0662023,0.70140636,210.11674,288.99075,0.0056587155,0.2170617
1801600,1.1509494,0.6971798,217.22891,300.47272,0.002040218,0.20806883
1801700,1.4103998,0.60362405,240.62863,347.94373,0.004781726,0.196023
1801801,0.82758063,1.1527202,391.29398,455.0362,0.004611336,0.20300803
1801901,0.6947666,1.3253295,464.26263,515.6907,0.020424863,0.18959789
1801902,0.799573,1.1303695,351.2852,409.69492,0.012571855,0.21853454
1802000,1.1193004,0.66858405,198.3815,274.96994,0.010953211,0.28571662
1802100,1.1828505,0.6228978,207.75008,294.4224,0.013141836,0.2382648
1802200,0.95385545,0.9574018,303.80392,376.97934,0.008048103,0.18911152
1802300,0.88368136,1.1177794,372.35083,437.92447,0.0051487978,0.25288936
1802401,0.9776864,0.8744303,277.9987,357.29092,0.026003292,0.17308776
1802402,0.7671622,1.0842196,310.9559,366.7716,0.02456154,0.18564199
1802403,0.884991,0.9125922,246.5762,310.48773,0.04074088,0.22091939
1802404,1.1266862,0.7581667,234.19435,315.85867,0.05658205,0.27695206
1802405,1.0537041,0.75264746,204.47762,274.56674,0.07457314,0.31779027
1802406,0.9830894,0.90964735,265.13852,334.54022,0.03454444,0.28963307
1802407,1.13644,0.75911504,238.05681,320.93817,0.033860806,0.27289712
1802500,0.8778167,1.0784878,342.24442,406.23383,0.018226566,0.24426354
1802600,0.8774245,0.97915864,288.50586,354.20554,0.009100609,0.20318252
1802700,1.0970722,0.6709794,200.68344,278.41415,0.0074788355,0.24408008
1802800,1.088451,0.7946359,211.42273,279.50366,0.007626927,0.31709853
1802900,1.0648685,0.83901805,251.4498,327.572,0.010173952,0.23806103
1803000,0.9924192,0.86683595,250.25482,321.21075,0.007858669,0.22230482
1803100,0.972656,0.87673044,264.8112,338.25177,0.0047026398,0.18364032
1803200,0.94252414,0.88747734,259.97418,330.45078,0.0047609624,0.19943042
1803300,0.9677964,0.9380216,255.01343,316.38608,0.002889791,0.21490283
1803400,1.196816,0.7373092,191.59442,258.6388,0.020307506,0.3809794
1803500,1.134563,0.75876147,205.94958,276.0647,0.0065340986,0.2831501
1803600,1.007416,0.83882636,216.80891,279.8106,0.019570323,0.2874557
1803700,0.9881429,0.8482343,237.13275,306.36966,0.012073768,0.21724464
1900100,1.0852641,0.85593504,195.16437,252.85307,0.00420702,0.27544284
1900200,1.0756905,0.8424838,208.67351,272.5951,0.003833758,0.24733686
1900301,0.9501259,1.0512584,310.84616,375.81906,0.004796746,0.1782694
1900302,0.95921296,1.058556,312.9739,377.49265,0.028802633,0.19595355
1900400,1.0586962,0.8568316,217.68707,283.17407,0.0011899637,0.24320206
1900500,1.1819613,0.80360836,223.91425,297.58417,0.019897578,0.25926507
1900600,1.113189,0.8388306,210.68341,275.70135,0.0039542792,0.269799
1900700,1.0667505,0.91046375,246.74693,314.43317,0.015005893,0.28912693
1900800,1.0443598,0.8645605,226.75604,293.5755,0.0018326178,0.25287104
1900900,1.0083882,0.9795185,269.8655,333.51166,0.02540496,0.30624622
1901100,1.026626,0.9969065,284.63492,350.72928,0.02194365,0.25850835
1901200,1.044921,0.8808496,221.66672,285.20618,0.0040495433,0.23698142
1901300,1.1940957,0.83554846,243.43016,320.351,0.0010623389,0.22542986
1901400,1.1254364,0.913262,272.36386,346.27856,0.0034110495,0.20487472
1901501,0.9722465,1.1532577,354.4848,415.9058,0.041002225,0.26238263
1901502,0.9877773,1.117918,353.60455,419.10498,0.005603112,0.21076427
1901503,1.2923807,0.8261456,253.61156,335.21597,0.04598577,0.32094836
1901600,1.0517225,0.94987136,262.8643,328.7963,0.0037435924,0.20373511
1901800,1.1691146,0.77404666,198.9278,265.86282,0.003092948,0.23627424
1901900,1.205081,0.7479408,184.63611,249.09766,0.0038199641,0.2866245
1902000,1.2228309,0.87492746,251.89641,325.10495,0.013505956,0.23153837
1902100,1.1647487,0.86135936,221.35637,285.7633,0.024817394,0.33503217
1902200,1.2924454,0.7187356,212.97786,292.99347,0.0040566972,0.2498922
1902300,1.11006,0.81507075,223.22134,294.73694,0.0044323374,0.20246089
2000100,1.3359153,0.7487364,189.37079,255.93126,0.001573696,0.24151377
2000200,1.2220843,0.77824134,180.9567,238.83992,0.00362658,0.32061437
2000300,1.2850336,0.7713726,214.74487,286.76663,0.0063783405,0.2543586
2000400,1.2784798,0.7401799,217.7216,293.62512,0.05940282,0.31801364
2000501,1.2089721,0.78019917,213.48282,283.23984,0.046995137,0.25343162
2000601,1.0827255,0.8957004,236.56866,298.2342,0.0029358077,0.24630783
2000700,1.1635007,0.81372523,235.28578,307.65515,0.018378137,0.20984508
2000801,0.8548514,1.1837217,369.30188,423.64554,0.043310795,0.19581532
2000802,0.87758124,1.1099143,303.00986,353.4999,0.08634129,0.27132976
2000803,0.7558638,1.3956059,479.06943,526.18787,0.050680712,0.23516685
2000804,0.96262646,1.097555,336.96185,396.33612,0.064014316,0.26875612
2000900,1.1258146,0.83146286,232.70905,301.28604,0.011634403,0.22623226
2001000,1.194815,0.7741229,193.00043,254.79156,0.005853342,0.3215434
2001101,1.2764544,0.7039364,178.7292,243.5675,0.0034684965,0.30231175
2001201,1.0795478,0.9982441,281.27667,341.4655,0.02607584,0.28541136
2001301,1.1544456,0.95145833,273.96548,338.59686,0.019810803,0.2797648
2001401,1.5313047,0.6161361,199.79526,287.5,0.056908306,0.24708197
2001501,1.245106,0.8404246,236.80292,305.518,0.021339139,0.2939146
2001600,1.1692034,0.85442626,225.28497,289.07242,0.0029827813,0.18816987
2001701,1.1182126,0.8295754,180.07233,231.21674,0.0024342125,0.24642679
2001800,1.2314643,0.8689256,216.39468,277.45294,0.0023218351,0.2718144
2100100,1.2160841,0.72936046,174.84526,234.1547,0.013525472,0.438141
2100200,1.135677,0.72063184,188.0332,254.25455,0.0051990147,0.22788541
2100300,1.3233172,0.58723557,178.90096,255.1395,0.004239914,0.25095052
2100400,1.2402793,0.6674659,176.83217,243.67068,0.012033607,0.4036143
2100500,1.0869211,0.83338666,240.5858,309.84247,0.011746273,0.23098853
2100600,1.1960548,0.5788537,159.93712,224.36353,0.006690961,0.28447938
2100700,1.26618,0.5384952,164.43552,235.32954,0.007757476,0.27676114
2100800,1.2404335,0.6620505,202.24652,282.82254,0.005907225,0.23459557
2100900,1.433916,0.4719505,171.38794,246.61234,0.009098135,0.3282591
2101000,1.3693842,0.55887556,191.04674,268.2648,0.004660789,0.25694564
2101100,1.3605454,0.57808644,181.57663,246.44576,0.010145063,0.36455062
2101200,1.095915,0.784653,202.17926,267.07776,0.010087665,0.34239906
2101300,1.0872074,0.7331518,197.61856,267.12653,0.006875924,0.2284576
2101400,1.2193844,0.700209,205.84938,283.5547,0.008607531,0.22330385
2101500,1.0645131,0.7581319,195.15486,260.49255,0.007843952,0.21507528
2101600,0.96692735,0.89126694,266.9229,338.23508,0.006262448,0.16615926
2101701,1.3526449,0.53618765,181.83313,264.6762,0.088348165,0.34397316
2101702,0.8236871,0.98443377,259.52475,315.45383,0.025791286,0.18458101
2101703,0.7297552,1.2002264,362.43896,412.28653,0.012945891,0.18934141
2101704,0.9143731,0.9191615,235.93451,294.54977,0.039791174,0.26167613
2101705,1.0988097,0.7342027,200.59322,271.3783,0.049676605,0.27646756
2101706,1.11062,0.7502242,205.32614,276.1112,0.03833363,0.29560295
2101800,0.8867433,1.0818594,359.8751,426.07513,0.0034585244,0.20189226
2101901,1.1264449,0.753186,231.43465,312.87042,0.04912439,0.20489594
2101902,0.86594695,0.99414384,282.80322,343.83334,0.02290705,0.18081684
2101903,0.86616075,0.990568,281.97437,343.12067,0.03942808,0.17081602
2102000,0.98728716,0.84753335,226.7759,292.1138,0.0088925,0.23364025
2102100,1.0348024,0.8122709,215.72755,282.1574,0.011081942,0.24177922
2102200,1.1393858,0.7614824,226.95897,305.48343,0.0077530453,0.22145227
2102300,1.0092679,0.856207,234.70737,301.943,0.0016384594,0.25752494
2102400,0.9363711,0.9660946,284.0933,350.23767,0.030089987,0.277474
2102500,0.8552493,1.1061009,382.6958,449.79556,0.0127739,0.189669
2102600,1.0492014,0.8029114,217.52574,284.89178,0.022507064,0.31565043
2102700,1.1403072,0.72916937,201.72588,273.60413,0.009913445,0.2994464
