PUMA2020,elasticity
3604111,0.1484639
3604112,0.12867871
3604121,0.24606143
3604165,0.14370731
3604204,0.11651219
3604205,0.13572516
3604207,0.11363898
3604208,0.11267622
3604209,0.168667
3604210,0.19013371
3604211,0.12174679
3604212,0.10265073
3604221,0.15079764
3604263,0.12232255
3604301,0.24309403
3604302,0.12731707
3604303,0.16375566
3604304,0.20095091
3604305,0.20531265
3604306,0.168231
3604307,0.18400489
3604308,0.13879494
3604309,0.16258664
3604310,0.19924347
3604311,0.28909329
3604312,0.23462369
3604313,0.16959272
3604314,0.20183146
3604315,0.2325533
3604316,0.14934853
3604317,0.23411041
3604318,0.22486535
3604401,0.21515851
3604402,0.15314189
3604403,0.19235551
3604404,0.21883535
3604405,0.16860458
3604406,0.14804448
3604407,0.13134269
3604408,0.11753996
3604409,0.20932062
3604410,0.23514542
3604411,0.11314184
3604412,0.19171818
3604413,0.16907214
3604414,0.16423205
3604501,0.080683
3604502,0.1033704
3604503,0.073294871
3700100,0.65550447
3700200,0.7438333
3700300,0.63047546
3700400,0.71011353
3700500,0.81878269
3700900,0.7464205
3701001,0.88710946
3701101,0.82868958
3701201,0.4697102
3701202,0.44829199
3701203,0.75947338
3701204,0.79971868
3701205,0.8198027
3701206,0.75751621
3701207,0.52748066
3701208,0.78784311
3701301,0.37560999
3701302,0.3940222
3701400,0.4992874
3701500,0.71873164
3701600,0.62851036
3701701,0.25583696
3701702,0.078535423
