GEOID,scenario,period,HDD,CDD,midyear,SST
200200,RCP45,1985-2015,6793.718193164483,0.39093951788788184,2000,0.0
200300,RCP45,1985-2015,6742.495687356691,0.4677376817172574,2000,0.0
200400,RCP45,1985-2015,7212.898569606082,0.8841466858716568,2000,0.0
400101,RCP45,1985-2015,686.8313598632812,1923.3785400390625,2000,0.0
400102,RCP45,1985-2015,656.2613639366823,1964.997637161558,2000,0.0
400103,RCP45,1985-2015,631.3405151367188,1998.92578125,2000,0.0
400104,RCP45,1985-2015,661.2835332667048,1958.160274356091,2000,0.0
400105,RCP45,1985-2015,652.3835111294003,1970.2770861022955,2000,0.0
400106,RCP45,1985-2015,631.3405151367188,1998.92578125,2000,0.0
400107,RCP45,1985-2015,609.3906510986772,2025.5196816387568,2000,0.0
400108,RCP45,1985-2015,631.3405151367188,1998.92578125,2000,0.0
400109,RCP45,1985-2015,631.3405151367188,1998.92578125,2000,0.0
400110,RCP45,1985-2015,786.2346926441817,1781.8896999385393,2000,0.0
400111,RCP45,1985-2015,974.9039432273383,1584.9713174778033,2000,0.0
400112,RCP45,1985-2015,974.8316878978176,1557.9026543101713,2000,0.0
400113,RCP45,1985-2015,750.8784956051583,1827.4660995123907,2000,0.0
400114,RCP45,1985-2015,676.2504847005795,1923.6663792154027,2000,0.0
400115,RCP45,1985-2015,675.217529296875,1924.9979248046875,2000,0.0
400116,RCP45,1985-2015,671.6862571410207,1928.9925526928193,2000,0.0
400117,RCP45,1985-2015,666.4340589432885,1940.64560286893,2000,0.0
400118,RCP45,1985-2015,630.2800293968028,1981.5772839864148,2000,0.0
400119,RCP45,1985-2015,630.0651162942705,1978.061518303903,2000,0.0
400120,RCP45,1985-2015,630.1993212801734,1980.2569790659495,2000,0.0
400121,RCP45,1985-2015,634.1142689285109,1965.1526877711726,2000,0.0
400122,RCP45,1985-2015,643.1731632183152,1961.2469910746736,2000,0.0
400123,RCP45,1985-2015,643.4636806145658,1951.191108459425,2000,0.0
400124,RCP45,1985-2015,668.6339351525797,1924.8710510125893,2000,0.0
400125,RCP45,1985-2015,675.217529296875,1924.9979248046875,2000,0.0
400126,RCP45,1985-2015,675.217529296875,1924.9979248046875,2000,0.0
400127,RCP45,1985-2015,669.4127562332303,1924.886059833258,2000,0.0
400128,RCP45,1985-2015,675.2455162176213,1924.9575833629722,2000,0.0
400129,RCP45,1985-2015,693.1777621263057,1875.4524426517457,2000,0.0
400130,RCP45,1985-2015,655.9059120928384,1924.6257666715273,2000,0.0
400131,RCP45,1985-2015,655.8851318359375,1924.6253662109375,2000,0.0
400132,RCP45,1985-2015,657.9867704393802,1909.0400894649847,2000,0.0
400133,RCP45,1985-2015,656.6483857991844,1907.2431283561548,2000,0.0
400134,RCP45,1985-2015,610.5656953125782,1974.7583165926162,2000,0.0
400135,RCP45,1985-2015,655.6284707099703,1965.6860023583356,2000,0.0
400400,RCP45,1985-2015,1886.5875602895856,692.5682987571514,2000,0.0
400500,RCP45,1985-2015,2605.231822268832,420.95097627338646,2000,0.0
400601,RCP45,1985-2015,1833.2598085861055,871.3328124445123,2000,0.0
400602,RCP45,1985-2015,1101.2048911885308,1415.974824224927,2000,0.0
400701,RCP45,1985-2015,505.0835148535251,2119.237884440466,2000,0.0
400803,RCP45,1985-2015,959.2813031424912,1600.8754180381525,2000,0.0
400805,RCP45,1985-2015,917.0407025981367,1610.9258136218646,2000,0.0
400807,RCP45,1985-2015,532.7640551566838,2123.246580989246,2000,0.0
400900,RCP45,1985-2015,1455.2654379754395,809.3701368526469,2000,0.0
401000,RCP45,1985-2015,2884.1268341047216,324.6901816403679,2000,0.0
401101,RCP45,1985-2015,303.539700637273,2436.0882302572895,2000,0.0
401901,RCP45,1985-2015,660.2211623856671,1765.3523695306158,2000,0.0
401902,RCP45,1985-2015,674.6897397225341,1789.7723737520791,2000,0.0
401903,RCP45,1985-2015,1284.1142496616176,1060.738014450608,2000,0.0
401904,RCP45,1985-2015,909.2123799543809,1406.7107635557809,2000,0.0
401905,RCP45,1985-2015,1257.6831936202586,949.771420078129,2000,0.0
401906,RCP45,1985-2015,828.97807377927,1500.723039088333,2000,0.0
401907,RCP45,1985-2015,1038.0863670567994,1330.7793502013105,2000,0.0
401908,RCP45,1985-2015,734.5986938476562,1590.4169921875,2000,0.0
401909,RCP45,1985-2015,757.1143443986849,1565.892234113405,2000,0.0
402502,RCP45,1985-2015,1719.1798804387872,814.4372579374583,2000,0.0
402503,RCP45,1985-2015,1552.7865194199608,960.9985808920036,2000,0.0
500101,RCP45,1985-2015,1961.2697387607918,851.7435778447716,2000,0.0
500102,RCP45,1985-2015,1973.4876303114172,834.9065978136663,2000,0.0
500201,RCP45,1985-2015,1969.9046790691957,828.0635828037961,2000,0.0
500202,RCP45,1985-2015,1942.1486763966677,844.7916743999697,2000,0.0
500300,RCP45,1985-2015,1881.7537600961446,875.0731619106713,2000,0.0
500400,RCP45,1985-2015,1711.9940634684997,1029.3469740873074,2000,0.0
500500,RCP45,1985-2015,1789.435194410132,1027.4184408174076,2000,0.0
500600,RCP45,1985-2015,1558.273520676657,1174.5153609747285,2000,0.0
500700,RCP45,1985-2015,1675.3651701403317,1100.277573502765,2000,0.0
500800,RCP45,1985-2015,1579.304509533418,1158.784821700938,2000,0.0
500900,RCP45,1985-2015,1527.0906875286125,1174.2340611871184,2000,0.0
501000,RCP45,1985-2015,1524.697490502977,1129.6243338998358,2000,0.0
501100,RCP45,1985-2015,1686.0406753211012,1052.900685279987,2000,0.0
501200,RCP45,1985-2015,1488.4707123511973,1124.9969323871358,2000,0.0
501300,RCP45,1985-2015,1416.8059168738646,1181.2113795481912,2000,0.0
