T2020PUMA_GISMATCH,gamma01b_units_FMM_agg_eq20,gamma01b_units_FMM_agg_eq21
1200798,0.85440886,0.85440886
1200901,0.60288745,0.62928599
1200902,0.1261429,0.14703733
1200903,0.16974963,0.18703404
1200904,0.27824914,0.30030125
1200905,0.37074959,0.394364
1201101,0.22594504,0.23615085
1201102,0.22178861,0.22408558
1201103,0.12378042,0.12746753
1201104,0.15633242,0.16036539
1201105,0.22297376,0.22577265
1201106,0.2649959,0.26861131
1201107,0.24617393,0.25205603
1201108,0.22822297,0.22907257
1201109,0.19605592,0.19702183
1201110,0.31974664,0.32614732
1201111,0.16362223,0.16589792
1201112,0.17521298,0.18022409
1201113,0.19195545,0.19386287
1201114,0.14053027,0.14148051
1201115,0.2390413,0.24145146
1201116,0.18303981,0.18348025
1201117,0.27565002,0.28922489
1201500,-0.046922244,-0.046922244
1201901,0.788477,0.79888254
1201902,0.43451783,0.44874892
1202101,0.38364068,0.39258435
1202102,0.38875157,0.39584574
1202103,0.45550516,0.50877619
1203101,0.75058264,0.77059776
1203102,0.43810126,0.45363188
1203103,0.50040841,0.50815833
1203104,0.45142388,0.46229824
1203105,0.34687001,0.35745803
1203106,0.42771363,0.44583809
1203107,0.47794229,0.4939394
1203301,0.58374435,0.60122436
1203302,0.36928263,0.37962475
1203303,0.59756911,0.61159432
1205199,0.73057413,0.73508912
1205701,0.27949432,0.283701
1205702,0.23415083,0.23560065
1205703,0.28492007,0.29648867
1205704,0.3316696,0.34353817
1205705,0.29263821,0.30642673
1205706,0.46034077,0.49014497
1205707,0.29994166,0.3053996
1205708,0.45914,0.47415593
1205709,0.444049,0.47485888
1205710,0.28575805,0.28886315
1205711,0.49250746,0.49969417
1205998,0.7539649,0.75779545
1206100,0.79357016,0.79357016
1206903,0.53636861,0.53636861
1207101,0.26951864,0.28616551
1207102,0.30492991,0.3091411
1207103,0.48862526,0.50963515
1207104,0.36402354,0.3756929
1207105,0.24912195,0.27711368
1207106,0.4151262,0.43060553
1207301,0.70009607,0.70551199
1207302,0.44939187,0.46713847
1208101,0.34586784,0.37511012
1208102,0.21699561,0.22855219
1208103,0.32325816,0.35133719
1208301,0.85551411,0.86278254
1208302,0.75069749,0.7685706
1208303,0.73016781,0.73754156
1208500,0.22201538,0.2222243
1208601,0.27831316,0.28157473
1208602,0.22175281,0.22414798
1208603,0.24010552,0.24367522
1208604,0.19837132,0.20123766
1208605,0.26009691,0.26263994
1208606,0.23082572,0.23213702
1208607,0.17003486,0.17115712
1208608,0.24514838,0.25010332
1208609,0.18785611,0.18801193
1208610,0.27333733,0.27968025
1208611,0.22521967,0.22568868
1208612,0.24148805,0.24337371
1208613,0.24678276,0.24723154
1208614,0.30060992,0.30672371
1208615,0.2177258,0.21801244
1208616,0.4025473,0.41335377
1208617,0.29539061,0.30170691
1208618,0.21883464,0.21983841
1208619,0.30099165,0.31115943
1208620,0.31009185,0.31273296
1208621,0.37777853,0.41090348
1208622,0.37826994,0.41396886
1208623,0.31200892,0.31878141
1208624,0.36317763,0.38599977
1208625,0.62317842,0.63691443
1209101,0.64110661,0.65642172
1209102,0.41248828,0.42473364
1209501,0.39989009,0.41933966
1209502,0.32590723,0.33863929
1209503,0.3793374,0.39117631
1209504,0.35497412,0.36278021
1209505,0.367295,0.3728148
1209506,0.31178004,0.31838495
1209507,0.40163594,0.41151342
1209508,0.31953108,0.32317936
1209509,0.35285643,0.37258616
1209510,0.47433415,0.49013031
1209701,0.54807961,0.55052263
1209702,0.52860314,0.55982119
1209703,0.33335915,0.34957379
1209901,0.29404733,0.30779222
1209902,0.28103241,0.29016072
1209903,0.29194161,0.29527313
1209904,0.29149416,0.29493159
1209905,0.27050978,0.27783048
1209906,0.24506488,0.2507759
1209907,0.22871155,0.23783506
1209908,0.15906662,0.16761985
1209909,0.24273089,0.25251359
1209910,0.47105083,0.4875055
1209911,0.4593057,0.49731129
1210101,0.4292118,0.45505002
1210102,0.22470942,0.25579557
1210103,0.0053096986,0.0100873
1210104,0.47224981,0.48471794
1210301,0.14260249,0.1594781
1210302,0.13496095,0.13897514
1210303,0.096315593,0.10114353
1210304,0.089632772,0.092679687
1210305,0.062433813,0.06729643
1210306,0.11911809,0.12117009
1210307,0.15044093,0.1533099
1210308,0.082100309,0.084126793
1210501,0.39377898,0.40852576
1210502,0.47355485,0.50531214
1210503,0.6040585,0.62359965
1210504,0.65210992,0.66980189
1210505,0.68595231,0.71155226
1210799,0.65119779,0.65712285
1210902,0.8507728,0.85078019
1210903,0.38835457,0.44379878
1211101,0.37714928,0.39708668
1211102,0.38167441,0.39970499
1211103,0.41562378,0.42126262
1211300,0.69750452,0.71966308
1211501,0.29807726,0.30304793
1211502,0.23160365,0.2518957
1211503,0.17722879,0.21362452
1211701,0.35181844,0.35991094
1211702,0.29059607,0.29578435
1211703,0.33106202,0.33587113
1211704,0.45824456,0.47490895
1212701,0.47709024,0.50491482
1212702,0.43743399,0.45930898
1212703,0.4815602,0.49632147
1212704,0.44426438,0.48847419
1300100,0.69181472,0.70060617
1300200,0.7596187,0.7596187
1300300,0.5109067,0.51093251
1300701,0.57287282,0.57290787
1300702,0.46583951,0.46882421
1300801,0.57390982,0.5791676
1300802,0.44878387,0.45995271
1300900,0.52233887,0.52878422
1301000,0.60768336,0.63003337
1301100,0.6258918,0.62683815
1301200,0.510059,0.52454364
1301301,0.30913693,0.32459497
1301302,0.41178146,0.41499424
1301303,0.21065505,0.22657576
1301304,0.47037357,0.47618836
1301305,0.32581589,0.33379731
1301401,0.35510328,0.37037778
1301402,0.2660456,0.26979977
1301403,0.33938077,0.35537133
1301404,0.29249433,0.31282598
1301405,0.17910929,0.18723781
1301406,0.33612779,0.35611841
1301407,0.30887485,0.32689685
1301408,0.51443315,0.53603768
1301501,0.22368945,0.2353462
1301502,0.3134791,0.32233173
1301503,0.35427764,0.363141
1301504,0.36172757,0.36753339
1301505,0.41776893,0.42500782
1301506,0.43296659,0.44378659
1301601,0.18679084,0.19582523
1301602,0.40806898,0.41079289
1301603,0.50769597,0.50918746
1301604,0.25394821,0.26053873
1301605,0.23579837,0.24457937
1301606,0.26270154,0.27429664
1301607,0.40611053,0.41587621
1301800,0.54784846,0.57713699
1301900,0.72281396,0.72482121
1302100,0.49494013,0.50987959
1302201,0.55251628,0.5637759
1302202,0.58234733,0.58802539
1302301,0.25244403,0.25977078
1302302,0.38934278,0.39918247
1302400,0.51351619,0.52485406
1302500,0.56190449,0.56869453
1302600,0.66712058,0.66731429
1302700,0.63245332,0.63245332
1302800,0.61163193,0.61180484
1302900,0.88671243,0.8921755
1303000,0.61406326,0.65045798
1303100,0.88053143,0.88053143
1303200,0.58559859,0.61556196
1303301,0.31749025,0.32818386
1303302,0.58602232,0.60820103
1303400,0.892021,0.89420062
1303600,0.50998878,0.5364157
1303800,0.39211389,0.42285797
1304000,0.69065547,0.73109835
1304600,0.87944829,0.88111687
1304701,0.49144933,0.50945377
1304702,0.74659109,0.76457942
1600100,0.79027921,0.79027921
1600300,0.69870681,0.69870681
1600400,0.81519008,0.8244651
1600600,0.85760123,0.85768241
1600701,0.54864413,0.56160671
1600702,0.44737151,0.46304309
1600800,0.44721454,0.4909814
1601000,0.78108776,0.78108776
1601300,0.4865658,0.53183568
1700701,0.46854514,0.53466481
1701901,0.49032915,0.5398401
1701902,0.72437292,0.77800745
1702900,1.0270777,1.0270777
1703101,0.16186108,0.16855854
1703102,0.13388854,0.13842124
1703103,0.10827273,0.1091418
1703104,0.15022391,0.15170012
1703105,0.14522666,0.14626203
1703106,0.20709606,0.20945407
1703107,0.17098022,0.17182779
1703108,0.15853904,0.15960816
1703109,0.15984468,0.1603871
1703110,0.15187544,0.15248601
1703111,0.18162324,0.18249494
1703112,0.19250207,0.19358259
1703113,0.15550052,0.15641229
1703114,0.15536945,0.15619266
1703115,0.19104975,0.19664763
1703116,0.18342011,0.18704838
1703117,0.14260192,0.14318743
1703118,0.2316668,0.24294364
1703151,0.17464922,0.1756824
1703152,0.176186,0.1764029
1703153,0.19662267,0.19792487
1703154,0.20657815,0.20746364
1703155,0.19462876,0.19505544
1703156,0.16490917,0.16506852
1703157,0.19426873,0.19481418
1703158,0.1812374,0.18154734
1703159,0.25215432,0.25389358
1703160,0.24910359,0.25004372
1703161,0.18157065,0.1817755
1703162,0.2453237,0.24745531
1703163,0.20598659,0.20662253
1703164,0.17656514,0.17712902
1703165,0.17527197,0.17558528
1703166,0.16213919,0.1626008
1703167,0.15079466,0.15088201
1703168,0.15952033,0.15964778
1704301,0.14730135,0.15150182
1704302,0.15058272,0.15230545
1704303,0.1489598,0.15125875
1704304,0.16273683,0.16597456
1704305,0.15937924,0.17077386
1704306,0.12307067,0.12590985
1704307,0.17609671,0.17755292
1707300,0.60647678,0.6961987
1708901,0.4741978,0.48150054
1708902,0.10754552,0.11843719
1708903,0.16233233,0.17225742
1708904,0.082744777,0.087297723
1709100,0.45013306,0.51100308
1709300,0.35701436,0.3925364
1709500,0.85992503,0.86213362
1709701,0.22331539,0.23658434
1709702,0.11238898,0.12339913
1709703,0.16795881,0.17599644
1709704,0.26548114,0.27593747
1709705,0.20505321,0.2126921
1709900,0.56912398,0.56912398
1711101,0.35173821,0.37439665
1711102,0.22305901,0.23748904
1711300,0.41139677,0.47521219
1711500,0.43697032,0.48668027
1711700,0.58335441,0.59033018
1711901,0.33362362,0.36585513
1711902,0.4871006,0.51556897
1712100,0.77187467,0.77187467
1713500,0.98247391,0.98359448
